temperature,exhaust_vacuum,amb_pressure,r_humidity,energy_production,temperature_sqaure
9.59,38.56,1017.01,60.1,481.3,3.0967725134404045
12.04,42.34,1019.72,94.67,465.36,3.4698703145794942
13.87,45.08,1024.42,81.69,465.48,3.7242448899072143
13.72,54.3,1017.89,79.08,467.05,3.704051835490427
15.14,49.64,1023.78,75.0,463.58,3.891015291668744
23.63,60.93,1006.41,83.06,439.9,4.861069841094653
22.99,61.02,1009.88,81.56,440.85,4.794788837894741
12.85,40.0,1015.89,68.85,463.74,3.5846896657869842
29.88,68.08,1011.14,55.78,429.33,5.4662601474865795
23.22,66.56,1002.47,85.39,437.11,4.818713521262703
9.02,38.08,1019.02,69.98,478.32,3.003331483536241
26.12,75.6,1017.41,72.31,439.68,5.110772935672255
16.66,36.71,1013.68,70.66,466.07,4.08166632639171
29.56,52.84,1006.09,42.17,436.46,5.436910887627275
30.0,61.5,1009.4,48.63,435.6,5.477225575051661
30.39,70.98,1007.55,72.76,435.48,5.512712580935088
20.88,47.45,1007.5,76.21,449.34,4.569463863518345
28.14,61.47,1009.69,64.66,435.35,5.304714883949938
18.86,46.48,1007.28,78.47,452.0,4.342810150121693
31.85,68.3,1014.76,47.06,428.72,5.643580423808985
17.47,63.31,1015.28,88.22,450.68,4.179712908801273
25.04,51.95,1005.56,66.53,449.45,5.0039984012787215
29.01,70.32,1007.26,60.55,429.23,5.386093203798093
22.36,59.44,1013.1,84.74,446.75,4.728636167014756
13.98,40.24,1017.19,87.45,467.2,3.7389838191679834
19.6,59.21,1017.65,86.29,449.23,4.427188724235731
12.51,43.67,1013.24,91.55,471.96,3.5369478367654787
22.76,58.96,1013.85,55.95,454.05,4.770744176750625
19.65,44.89,1009.76,75.36,451.35,4.4328320518603
14.78,38.58,1017.02,82.4,460.54,3.844476557348217
7.55,42.85,1011.21,93.25,484.93,2.7477263328068173
5.62,41.38,1020.91,86.21,490.83,2.3706539182259396
20.76,59.04,1012.51,85.39,448.92,4.5563142999578075
18.44,39.72,1001.14,66.83,460.44,4.294182110716778
